"ond_id","ond_tekst_filmtitel","org_naam_aanvrager","org_naam_fabriek","ond_tekst_lengte_meters","ond_tekst_smalfilm","ond_tekst_categorie","ond_datum_keuring","ond_tekst_weeklijstnummer","ond_tekst_oordeel","ond_tekst_coupures","ond_datum_herkeuring","ond_tekst_herkeuring_weeklijstnummer","ond_tekst_herkeuring_oordeel","ond_tekst_herkeuring_coupures","vwz_url_cinemacontext","vwz_archivelink","ond_UUID"
"16035","Ufa Geluidsjournaal 99","UFA Film Maatschappij (Amsterdam)","Ufa (D)","243 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF047533","NL-HaNA/2.04.60/605///Dossier A3236/","0b93f03c-7cc1-102d-a57f-005056a23d00"
"16036","De nonchalante Huisvrouw. (recl. Lotisico)","Van Vriesland Kinohuis (Den Haag)","v.Vriesland (N)","150 meter","nee","nonfictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF024440","NL-HaNA/2.04.60/605///Dossier A3237/","0b93f4e2-7cc1-102d-a57f-005056a23d00"
"16037","De Opscheppers","Cinetone (Amsterdam)",,"240 meter","ja","fictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF035705","NL-HaNA/2.04.60/605///Dossier A3238/","0b93f96a-7cc1-102d-a57f-005056a23d00"
"16038","Het Vuurwerk","Cinetone (Amsterdam)",,"203 meter","ja","fictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF038637","NL-HaNA/2.04.60/605///Dossier A3239/","0b93fe56-7cc1-102d-a57f-005056a23d00"
"16039","Brandalarm","Cinetone (Amsterdam)",,"245 meter","ja","fictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF037275","NL-HaNA/2.04.60/605///Dossier A3240/","0b9402e8-7cc1-102d-a57f-005056a23d00"
"16040","De Schoonheidsspecialist","Remaco's Filmbedrijf NV (Amsterdam)","Pathé (F)","2396 meter","nee","fictie","1933-07-17","257","18 jaar","1 in scène",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF005075","NL-HaNA/2.04.60/605///Dossier A3241/","0b940824-7cc1-102d-a57f-005056a23d00"
"16041","De IJsbergpatrouille","Netherlands Fox Film Corp. NV (Amsterdam)","Fox (A)","252 meter","nee","fictie","1933-08-01","258","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF036132","NL-HaNA/2.04.60/605///Dossier A3242/","0b940cb6-7cc1-102d-a57f-005056a23d00"
"16042","Schoonheid onder Water","Netherlands Fox Film Corp. NV (Amsterdam)","Fox (A)","245 meter","nee","fictie","1933-08-01","258","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF046674","NL-HaNA/2.04.60/605///Dossier A3243/","0b941152-7cc1-102d-a57f-005056a23d00"
"16043","Jan de Dierenvriend","Vroom & Dreesman (Den Haag)","Kodak (A)","160 meter","ja","fictie","1933-07-17","257","alle leeftijden","Geen",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF013147","NL-HaNA/2.04.60/605///Dossier A3244/","0b9415e4-7cc1-102d-a57f-005056a23d00"
"16044","De Bank","Vroom & Dreesman (Den Haag)","Kodak (A)","160 meter","ja","fictie","1933-07-17","257","alle leeftijden","1 in scène",,,,,"http%3A%2F%2Fwww%2Ecinemacontext%2Enl%2Fid%2FF012247","NL-HaNA/2.04.60/605///Dossier A3245/","0b941a8a-7cc1-102d-a57f-005056a23d00"
